Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
48,2.0,0.0,0.0,1110.0,8.0,329.0,3160.0,0.1,320.0079999999998,0.0,0.0,479.8091390132904,,,,,,,,,,,,,,,,,,,,,141.5886598154282,81.34576642530499,273.9730029536286,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,1282.0,9.0,172.0,3332.0,0.1,163.00800000000004,0.0,0.0,495.14148449897766,,,,,,,,,,,,,,,,,,,,,74.55784988025515,45.68515260011323,150.4848690738749,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1507.0,10.0,225.0,3557.0,0.1,218.00600000000003,0.0,0.0,515.0528078079224,,,,,,,,,,,,,,,,,,,,,99.69184132582451,58.36145264073149,195.9670738823806,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1660.0,11.0,153.0,3710.0,0.1,145.00700000000003,0.0,0.0,528.8022041320801,,,,,,,,,,,,,,,,,,,,,66.86575683008724,40.989934044220526,135.0464971528052,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1778.0,12.0,118.0,3828.0,0.1,98.019,0.0,0.0,539.4703855514526,,,,,,,,,,,,,,,,,,,,,43.78139323144663,27.656504209982327,93.0387801201495,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1891.0,13.0,113.0,3941.0,0.1,104.00800000000004,0.0,0.0,549.9036629199982,,,,,,,,,,,,,,,,,,,,,47.58210750110709,30.670383071128022,98.8287805847639,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1947.0,14.0,56.0,3997.0,0.1,46.00899999999998,0.0,0.0,555.2283556461334,,,,,,,,,,,,,,,,,,,,,19.827734176308642,14.893592767304026,44.98857905565898,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,2004.0,15.0,57.0,4054.0,0.1,49.006999999999984,0.0,0.0,560.595025062561,,,,,,,,,,,,,,,,,,,,,21.996328245500788,15.514078652443526,47.84885915946624,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,2136.0,16.0,132.0,4186.0,0.1,123.00800000000004,0.0,0.0,572.5098621845245,,,,,,,,,,,,,,,,,,,,,56.37633773554688,35.61474703406796,115.79780322755975,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,2208.0,17.0,72.0,4258.0,0.1,63.00799999999998,0.0,0.0,579.3275234699249,,,,,,,,,,,,,,,,,,,,,28.28498264911064,19.58929287772835,61.09360737039745,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
